Chromosome	Start	End	Strand	Gene	Transcription_Start_Site
chrMT	14145	15288	+	mt-Cytb	14145
chrMT	13552	14070	-	mt-Nd6	14070
chrMT	11742	13565	+	mt-Nd5	11742
chrMT	10167	11544	+	mt-Nd4	10167
chrMT	9877	10173	+	mt-Nd4l	9877
chrMT	9459	9806	+	mt-Nd3	9459
chrMT	8607	9390	+	mt-Co3	8607
chrMT	7927	8607	+	mt-Atp6	7927
chrMT	7766	7969	+	mt-Atp8	7766
chrMT	7013	7696	+	mt-Co2	7013
chrMT	5328	6872	+	mt-Co1	5328
chrMT	3914	4951	+	mt-Nd2	3914
chrMT	2751	3707	+	mt-Nd1	2751
chr2	154551776	154553276	+	Actl10	154551776
chrX	31117674	31119170	+	Btbd35f29	31117674
chrJH584294.1	2012	3786	+	Ccl27a	3094
chrJH584294.1	2012	3786	+	Ccl27a	2012
chrGL456221.1	17591	30203	-	AC132444.1	30203
chrJH584299.1	806210	809281	+	AC124606.2	806210
chr7	84915781	84916728	+	Olfr290	84915781
chrY	90838869	90839177	-	Gm21748	90839177
chr4	108719649	108781904	+	3110021N24Rik	108719649
chrGL456210.1	147792	149707	+	AC125149.4	147792
chr9	3015654	3017210	+	Gm10720	3015654
chr2	169582845	169587745	-	Gm11011	169587745
chrGL456221.1	111572	163011	-	Csprs	163011
chrGL456354.1	6366	8939	+	AC140325.2	6366
chr8	129129097	129131661	-	Gm10999	129131661
chr16	82828382	82829881	+	Gm21833	82828382
chr19	61183890	61183955	+	Gm6020	61183890
chrGL456211.1	30483	32396	-	AC133103.4	32396
chrJH584293.1	41602	43114	-	CR974586.2	43114
chr4	42091207	42092287	+	Gm3893	42091207
chrJH584294.1	138344	144557	-	CT868723.1	144557
chr10	58713606	58718210	-	Gm17542	58718210
chrX	148613253	148615153	-	Gm8334	148615153
chr2	67413725	67433086	+	Gm21830	67413725
chrJH584299.1	173050	176134	+	AC123873.2	173050
chr13	41273803	41273977	-	Gm17364	41273977
chr4	155614413	155645408	-	Gm10563	155645408
chr14	19415857	19418930	-	Gm21738	19418930
chr6	129862649	129864393	+	Gm17631	129862649
chr2	174330319	174346712	-	Gm20721	174346712
chrGL456219.1	94186	95088	-	Vmn1r186	95088
chr17	25240170	25242798	+	Tsr3	25240170
chr7	81855533	81855794	-	Gm10160	81855794
chr4	56740070	56741377	+	Gm26657	56740070
chr16	89169490	89169648	+	Gm7735	89169490
chr11	82028224	82038562	-	Gm17268	82038562
chr17	25233331	25240124	-	Gnptg	25240116
chr17	25233331	25240124	-	Gnptg	25240124
chr1	170885065	170885881	+	Gm26620	170885065
chrJH584293.1	103128	104629	+	CR974586.4	103128
chr13	66227319	66227573	-	Gm10772	66227573
chr12	19954505	19954840	+	Gm21863	19954505
chr14	73661225	73662721	+	Gm21750	73661225
chrGL456221.1	58743	59114	+	AC132444.2	58743
chr17	63863300	63863791	-	A930002H24Rik	63863791
chr5	106609098	106609201	+	Gm17304	106609098
chr7	66365905	66386309	+	Gm10974	66365905
chr2	98662237	98664083	+	Gm10801	98662237
chrX	21174439	21175653	-	Gm21876	21175653
chrGL456354.1	25923	27230	-	AC140325.1	27230
chr5	115097689	115098295	-	Gm10401	115098295
chrGL456221.1	151235	152734	+	AC132444.6	151235
chr9	25089422	25089490	+	Gm10181	25089422
chrJH584293.1	10948	16486	+	Il11ra2	10948
chr10	6740629	6761761	-	Gm10945	6761761
chr12	74315110	74316394	-	Gm11042	74316394
chr14	54640952	54648293	+	Gm17606	54640952
chrGL456219.1	149261	150163	-	AC102264.1	150163
chr19	45552275	45560531	-	Poll	45560531
chr5	88110567	88111530	-	Gm11116	88111530
chrY	13223386	13223928	-	Gm21828	13223928
chrGL456354.1	158543	161339	+	AC140325.4	158543
chr2	58859434	58907618	+	Gm11099	58859434
chrGL456216.1	15881	36183	+	CAAA01118383.1	15881
chrJH584298.1	179693	182203	+	AC125178.2	179693
chr2	126215100	126216212	+	Gm17555	126215100
chrGL456354.1	146926	149659	-	AC140325.3	149659
chrJH584299.1	587624	625594	+	AC163611.2	587624
chr9	3000922	3002330	+	Gm10722	3000922
chrJH584292.1	3536	11935	+	Vmn2r122	3573
chrJH584292.1	3536	11935	+	Vmn2r122	3539
chrJH584292.1	3536	11935	+	Vmn2r122	3536
chrY	41406498	41407040	+	Gm21800	41406498
chrY	5248359	5249441	-	Gm21820	5249441
chr8	60430024	60503198	-	Gm10283	60503198
chr5	67927261	67946421	-	Gm21905	67946421
chrGL456233.1	25190	25788	+	CAAA01165726.1	25190
chr19	24476502	24477356	-	Fam122a	24477356
chrGL456211.1	160465	162404	-	AC133103.5	162404
chr9	3036877	3038316	+	Gm10715	3036877
chr9	3036877	3038316	+	Gm10715	3037111
chr10	116956824	116972609	-	Gm10271	116972609
chr14	7640895	7643972	-	Gm10128	7643972
chrJH584293.1	86316	87710	-	CR974586.5	87710
chr6	140729284	140756053	+	Gm11077	140729284
chr2	155735810	155735866	-	Gm17581	155735866
chrY	13465037	13465579	-	Gm21866	13465579
chr8	9864251	9870315	+	Gm10217	9864251
chrGL456354.1	82993	86051	-	Gm3286	86051
chrJH584299.1	4975	7356	+	AC123873.3	4975
chr17	57003405	57011288	-	Gtf2f1	57011288
chrX	165003765	165004829	-	Gm17604	165004829
chr8	110082803	110102753	-	Gm17720	110102753
chrJH584294.1	4164	9702	-	Il11ra2	9702
chr19	8883930	8887258	+	Gm49403	8883930
chr15	12321438	12321899	-	1810049J17Rik	12321899
chr3	137671524	137672540	+	Gm21962	137671524
chr7	42578466	42578588	-	Gm21028	42578588
chrGL456210.1	135395	136519	-	AC125149.2	136519
chr18	31609512	31610751	+	B930094E09Rik	31609512
chrJH584296.1	130715	133448	-	AC164084.3	133448
chrJH584294.1	102539	104139	-	Ccl19	104139
chr2	72971548	72986716	-	Gm11084	72986716
chrX	7907693	7907835	-	Gm10491	7907835
chrJH584297.1	31101	33667	+	AC165294.2	31101
chrY	40775223	40775765	-	Gm21797	40775765
chrJH584303.1	81607	82689	+	AC234645.1	81607
chr14	54976933	54977025	+	Gm17428	54976933
chr18	34736359	34738014	+	Gm3550	34736359
chr1	82233112	82235933	+	Gm9747	82233112
chrY	17935713	17937330	-	Srsy	17937330
chrJH584293.1	140956	142665	+	4933409K07Rik	140956
chrY	13348521	13349063	-	Gm21725	13349063
chr5	25222848	25223153	-	E130116L18Rik	25223153
chr7	5034118	5035246	+	4632433K11Rik	5034118
chrX	56447965	56448366	+	Gm2174	56447965
chr18	80089297	80089962	-	Gm21886	80089962
chr1	133619871	133661380	-	Zc3h11a	133661380
chr5	88154023	88154099	-	Gm11115	88154099
chrY	13941738	13942280	+	Gm21767	13941738
chr11	31182376	31182462	-	Gm17332	31182462
chr3	97673031	97674694	-	Gm17651	97674694
chr5	111733924	111734574	+	Gm26897	111733924
chr2	140152043	140153532	+	Gm17374	140152043
chr3	103739366	103746376	+	Gm10964	103739366
chr18	24709040	24709348	-	Gm9955	24709348
chrGL456350.1	211325	212455	-	Ccl21b	212455
chrJH584298.1	168268	170838	-	AC125178.3	170838
chr15	64817694	64937996	+	Gm21798	64817694
chr5	98552695	98553744	+	Gm11111	98552695
chr13	96490733	96491120	+	Gm17622	96490733
chr17	81441763	81441923	+	Gm11096	81441763
chr16	15317458	15318957	+	Gm21897	15317458
chr2	131133497	131134215	+	Gm11037	131133497
chr7	141029131	141029620	+	Gm17387	141029131
chrY	25308278	25309360	-	Gm21773	25309360
chr19	61296902	61297069	-	Gm21060	61297069
chr9	3025417	3033289	+	Gm10717	3025417
chr9	3025417	3033289	+	Gm10717	3026151
chr9	3025417	3033289	+	Gm10717	3027523
chr9	3025417	3033289	+	Gm10717	3029195
chr9	3025417	3033289	+	Gm10717	3030337
chr9	3025417	3033289	+	Gm10717	3030568
chr9	3025417	3033289	+	Gm10717	3032085
chrJH584293.1	83395	84475	-	CR974586.3	84475
chr3	67365461	67375163	-	Gm17402	67375163
chrY	76378662	76379744	+	Gm21776	76378662
chrJH584297.1	19740	22248	-	AC165294.1	22248
chr17	57741767	57742219	-	Gm21834	57742219
chrJH584296.1	195181	197903	-	AC164084.1	197903
chrGL456211.1	226405	229375	-	AC133103.3	229375
chr9	85312773	85312860	+	Gm11114	85312773
chrJH584299.1	837364	840451	+	AC124606.1	837364
chrX	7909542	7909927	+	Gm10490	7909542
chr3	107631322	107633090	+	Gm10961	107631322
chr7	30321740	30323472	+	E130208F15Rik	30321740
chrJH584295.1	66	1479	-	CAAA01147332.1	1479
chr18	34840589	34847463	+	Reep2	34840589
chrGL456350.1	173252	174286	-	AC087559.2	174286
chr2	104068047	104068550	-	Gm10799	104068550
chrGL456210.1	9124	58882	-	AC125149.3	58882
chr19	53371566	53371766	-	Gm10197	53371766
chr6	95322112	95322210	+	Gm10234	95322112
chr15	102503722	102503886	+	Gm10337	102503722
chr9	13444034	13446753	-	Gm17571	13446753
