Chromosome	Start	End	Strand	Gene	Transcription_Start_Site
MT	14145	15288	+	mt-Cytb	14145
MT	13552	14070	-	mt-Nd6	14070
MT	11742	13565	+	mt-Nd5	11742
MT	10167	11544	+	mt-Nd4	10167
MT	9877	10173	+	mt-Nd4l	9877
MT	9459	9806	+	mt-Nd3	9459
MT	8607	9390	+	mt-Co3	8607
MT	7927	8607	+	mt-Atp6	7927
MT	7766	7969	+	mt-Atp8	7766
MT	7013	7696	+	mt-Co2	7013
MT	5328	6872	+	mt-Co1	5328
MT	3914	4951	+	mt-Nd2	3914
MT	2751	3707	+	mt-Nd1	2751
2	154551776	154553276	+	Actl10	154551776
X	31117674	31119170	+	Btbd35f29	31117674
JH584294.1	2012	3786	+	Ccl27a	3094
JH584294.1	2012	3786	+	Ccl27a	2012
GL456221.1	17591	30203	-	AC132444.1	30203
JH584299.1	806210	809281	+	AC124606.2	806210
7	84915781	84916728	+	Olfr290	84915781
Y	90838869	90839177	-	Gm21748	90839177
4	108719649	108781904	+	3110021N24Rik	108719649
GL456210.1	147792	149707	+	AC125149.4	147792
9	3015654	3017210	+	Gm10720	3015654
2	169582845	169587745	-	Gm11011	169587745
GL456221.1	111572	163011	-	Csprs	163011
GL456354.1	6366	8939	+	AC140325.2	6366
8	129129097	129131661	-	Gm10999	129131661
16	82828382	82829881	+	Gm21833	82828382
19	61183890	61183955	+	Gm6020	61183890
GL456211.1	30483	32396	-	AC133103.4	32396
JH584293.1	41602	43114	-	CR974586.2	43114
4	42091207	42092287	+	Gm3893	42091207
JH584294.1	138344	144557	-	CT868723.1	144557
10	58713606	58718210	-	Gm17542	58718210
X	148613253	148615153	-	Gm8334	148615153
2	67413725	67433086	+	Gm21830	67413725
JH584299.1	173050	176134	+	AC123873.2	173050
13	41273803	41273977	-	Gm17364	41273977
4	155614413	155645408	-	Gm10563	155645408
14	19415857	19418930	-	Gm21738	19418930
6	129862649	129864393	+	Gm17631	129862649
2	174330319	174346712	-	Gm20721	174346712
GL456219.1	94186	95088	-	Vmn1r186	95088
17	25240170	25242798	+	Tsr3	25240170
7	81855533	81855794	-	Gm10160	81855794
4	56740070	56741377	+	Gm26657	56740070
16	89169490	89169648	+	Gm7735	89169490
11	82028224	82038562	-	Gm17268	82038562
17	25233331	25240124	-	Gnptg	25240116
17	25233331	25240124	-	Gnptg	25240124
1	170885065	170885881	+	Gm26620	170885065
JH584293.1	103128	104629	+	CR974586.4	103128
13	66227319	66227573	-	Gm10772	66227573
12	19954505	19954840	+	Gm21863	19954505
14	73661225	73662721	+	Gm21750	73661225
GL456221.1	58743	59114	+	AC132444.2	58743
17	63863300	63863791	-	A930002H24Rik	63863791
5	106609098	106609201	+	Gm17304	106609098
7	66365905	66386309	+	Gm10974	66365905
2	98662237	98664083	+	Gm10801	98662237
X	21174439	21175653	-	Gm21876	21175653
GL456354.1	25923	27230	-	AC140325.1	27230
5	115097689	115098295	-	Gm10401	115098295
GL456221.1	151235	152734	+	AC132444.6	151235
9	25089422	25089490	+	Gm10181	25089422
JH584293.1	10948	16486	+	Il11ra2	10948
10	6740629	6761761	-	Gm10945	6761761
12	74315110	74316394	-	Gm11042	74316394
14	54640952	54648293	+	Gm17606	54640952
GL456219.1	149261	150163	-	AC102264.1	150163
19	45552275	45560531	-	Poll	45560531
5	88110567	88111530	-	Gm11116	88111530
Y	13223386	13223928	-	Gm21828	13223928
GL456354.1	158543	161339	+	AC140325.4	158543
2	58859434	58907618	+	Gm11099	58859434
GL456216.1	15881	36183	+	CAAA01118383.1	15881
JH584298.1	179693	182203	+	AC125178.2	179693
2	126215100	126216212	+	Gm17555	126215100
GL456354.1	146926	149659	-	AC140325.3	149659
JH584299.1	587624	625594	+	AC163611.2	587624
